[03-Jun-2023 22:08:07] | 404 |      0s | 127.0.0.1 | GET | / | Cannot GET /
[03-Jun-2023 22:08:13] | 200 | 1.0214ms | 127.0.0.1 | GET | /playground | -
[03-Jun-2023 22:08:14] | 404 |      0s | 127.0.0.1 | GET | /favicon.ico | Cannot GET /favicon.ico
[03-Jun-2023 22:08:14] | 200 | 3.1442ms | 127.0.0.1 | POST | /query | -
[03-Jun-2023 22:08:16] | 422 |   997µs | 127.0.0.1 | POST | /query | -
[03-Jun-2023 22:13:41] | 404 | 552.6µs | 127.0.0.1 | GET | / | Cannot GET /
[03-Jun-2023 22:13:43] | 200 | 523.8µs | 127.0.0.1 | GET | /playground | -
[03-Jun-2023 22:13:43] | 200 | 2.8353ms | 127.0.0.1 | POST | /query | -
[03-Jun-2023 22:14:15] | 404 |      0s | 127.0.0.1 | GET | / | Cannot GET /
[03-Jun-2023 22:18:12] | 404 |      0s | 127.0.0.1 | GET | / | Cannot GET /
[03-Jun-2023 22:18:15] | 200 | 1.0426ms | 127.0.0.1 | GET | /playground | -
[03-Jun-2023 22:18:16] | 200 | 1.9988ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 12:43:51] | 404 | 527.2µs | 127.0.0.1 | GET | / | Cannot GET /
[04-Jun-2023 12:43:54] | 200 |      0s | 127.0.0.1 | GET | /playground | -
[04-Jun-2023 12:43:55] | 200 | 3.0016ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:15:48] | 200 | 1.0523ms | 127.0.0.1 | GET | /playground | -
[04-Jun-2023 13:15:49] | 200 | 2.3454ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:16:36] | 404 |      0s | 127.0.0.1 | GET | /playground | Cannot GET /playground
[04-Jun-2023 13:16:39] | 200 |      0s | 127.0.0.1 | GET | / | -
[04-Jun-2023 13:16:39] | 200 | 3.5511ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:18:37] | 200 | 2.6336ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:20:55] | 200 | 3.4138ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:20:57] | 200 | 1.2805ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:23:14] | 200 | 181.0116ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:23:38] | 200 | 106.9635ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:24:14] | 200 | 257.6663ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:39:12] | 200 | 507.4µs | 127.0.0.1 | GET | / | -
[04-Jun-2023 13:39:12] | 200 | 4.1429ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:39:13] | 200 |      0s | 127.0.0.1 | GET | / | -
[04-Jun-2023 13:39:14] | 200 | 2.0052ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:39:24] | 200 |      0s | 127.0.0.1 | GET | / | -
[04-Jun-2023 13:39:24] | 200 | 3.0913ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:39:25] | 200 |      0s | 127.0.0.1 | GET | / | -
[04-Jun-2023 13:39:26] | 200 | 2.8828ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:40:44] | 200 | 552.4µs | 127.0.0.1 | GET | / | -
[04-Jun-2023 13:40:44] | 200 | 3.5159ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:40:47] | 200 |      0s | 127.0.0.1 | GET | / | -
[04-Jun-2023 13:40:48] | 200 | 998.6µs | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:40:55] | 200 | 3.1497ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:40:56] | 200 | 1.6757ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:40:59] | 404 |      0s | 127.0.0.1 | GET | /playground | Cannot GET /playground
[04-Jun-2023 13:41:02] | 200 | 1.0008ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:41:09] | 200 | 2.556ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:41:11] | 200 |      0s | 127.0.0.1 | GET | / | -
[04-Jun-2023 13:41:11] | 200 | 998.3µs | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:42:12] | 200 | 184.6946ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:42:57] | 422 |      0s | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:43:09] | 200 | 114.4245ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:43:14] | 200 | 69.1961ms | 127.0.0.1 | POST | /query | -
[04-Jun-2023 13:43:15] | 200 | 112.8633ms | 127.0.0.1 | POST | /query | -
